Video name			species			correctness
	Anoplolepis_gracilipes_sugar_38-1.wmv_patches			Tetramorium_bicarinatum			0
	Brachymyrmex_obscurior_03-28-2011_164518.wmv_patches			Solenopsis_geminata			0
	Brachymyrmex_obscurior_03-28-2011_173629.wmv_patches			Wasmannia_auropunctata			0
	Brachymyrmex_obscurior_03-28-2011_173654.wmv_patches			Wasmannia_auropunctata			0
	Brachymyrmex_obscurior_03-28-2011_173859.wmv_patches			Tetramorium_pacificum			0
	Brachymyrmex_obscurior_03-28-2011_174049.wmv_patches			Wasmannia_auropunctata			0
	Camponotus_dentatus_sugar_07-1.wmv_patches			Camponotus_dentatus			1
	Cardiocondyla_minutior_sugar_32-1.wmv_patches			Tetramorium_pacificum			0
	Cardiocondyla_nr_emeryi_pb_36-1.wmv_patches			Anoplolepis_gracilipes			0
	Iridomyrmex_anceps_ignoblis_sugar_39-1.wmv_patches			Iridomyrmex_anceps			1
	Leptogenys_falcigera_04-01-2011_083419.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_083528.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_083551.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_083634.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_083702.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_083714.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_083801.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_083830.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_084046.wmv_patches			Wasmannia_auropunctata			0
	Leptogenys_falcigera_04-01-2011_084105.wmv_patches			Anoplolepis_gracilipes			0
	Leptogenys_falcigera_04-01-2011_084343.wmv_patches			Leptogenys_falcigera			1
	Leptogenys_falcigera_04-01-2011_084421.wmv_patches			Leptogenys_falcigera			1
	Leptogenys_falcigera_04-01-2011_084609.wmv_patches			Leptogenys_falcigera			1
	Leptogenys_falcigera_04-01-2011_084705.wmv_patches			Leptogenys_falcigera			1
	Monomorium_destructor_pb_37-1.wmv_patches			Tetramorium_bicarinatum			0
	Monomorium_floricola_04-01-2011_081559.wmv_patches			Wasmannia_auropunctata			0
